Liters per Hour,Strainer Height,Day,Hour,Minutes,Seconds,Label
104,6,29/09/2016,17,9,55,0
96,6,29/09/2016,17,9,56,0
96,5,29/09/2016,17,9,57,0
104,5,29/09/2016,17,9,58,0
104,6,29/09/2016,17,9,59,0
104,5,29/09/2016,17,10,0,0
104,5,29/09/2016,17,10,1,0
112,5,29/09/2016,17,10,2,0
104,5,29/09/2016,17,10,3,0
112,5,29/09/2016,17,10,4,0
104,5,29/09/2016,17,10,5,0
104,5,29/09/2016,17,10,6,0
96,6,29/09/2016,17,10,7,0
88,7,29/09/2016,17,10,8,0
72,7,29/09/2016,17,10,9,0
64,8,29/09/2016,17,10,10,0
56,9,29/09/2016,17,10,11,0
40,9,29/09/2016,17,10,12,0
24,10,29/09/2016,17,10,13,0
0,10,29/09/2016,17,10,14,0
0,9,29/09/2016,17,10,15,0
8,8,29/09/2016,17,10,16,0
40,8,29/09/2016,17,10,17,0
56,7,29/09/2016,17,10,18,0
80,6,29/09/2016,17,10,19,0
88,6,29/09/2016,17,10,20,0
88,5,29/09/2016,17,10,21,0
104,5,29/09/2016,17,10,22,0
104,4,29/09/2016,17,10,23,0
112,4,29/09/2016,17,10,24,0
112,5,29/09/2016,17,10,25,0
112,5,29/09/2016,17,10,26,0
120,4,29/09/2016,17,10,27,0
112,4,29/09/2016,17,10,28,0
112,5,29/09/2016,17,10,29,0
120,4,29/09/2016,17,10,30,0
120,4,29/09/2016,17,10,31,0
120,4,29/09/2016,17,10,32,0
128,4,29/09/2016,17,10,33,0
128,5,29/09/2016,17,10,34,0
128,3,29/09/2016,17,10,35,0
136,3,29/09/2016,17,10,36,0
144,3,29/09/2016,17,10,37,0
136,3,29/09/2016,17,10,38,0
136,4,29/09/2016,17,10,39,0
144,3,29/09/2016,17,10,40,0
144,4,29/09/2016,17,10,41,0
144,3,29/09/2016,17,10,42,0
144,4,29/09/2016,17,10,43,0
144,2,29/09/2016,17,10,44,0
136,3,29/09/2016,17,10,45,0
136,2,29/09/2016,17,10,46,0
136,3,29/09/2016,17,10,47,0
136,3,29/09/2016,17,10,48,0
120,5,29/09/2016,17,10,49,0
112,5,29/09/2016,17,10,50,0
112,6,29/09/2016,17,10,51,0
104,7,29/09/2016,17,10,52,0
96,7,29/09/2016,17,10,53,0
96,6,29/09/2016,17,10,54,0
104,5,29/09/2016,17,10,55,0
88,7,29/09/2016,17,10,56,0
88,7,29/09/2016,17,10,57,0
